Timestamp|Palm|ThumbStart|ThumbMid|ThumbEnd|IndexStart|IndexMid1|IndexMid2|IndexEnd|MiddleStart|MiddleMid1|MiddleMid2|MiddleEnd|RingStart|RingMid1|RingMid2|RingEnd|PinkyStart|PinkyMid1|PinkyMid2|PinkyEnd|Arm SecondHand --> 
0.161000|[-66.104309,388.610565,235.265121]|[[-51.118916,-51.118916,339.257355],[339.257355,251.095947,251.095947]]|[[-51.118916,-19.507137,339.257355],[356.441345,251.095947,253.209671]]|[[-19.507137,3.181309,356.441345],[378.628296,253.209671,258.811035]]|[[3.181309,10.686741,378.628296],[400.162811,258.811035,267.464417]]|[[-63.046741,-33.572727,340.644165],[395.974152,230.229843,226.342392]]|[[-33.572727,-23.538960,395.974152],[434.401825,226.342392,224.766525]]|[[-23.538960,-16.179230,434.401825],[456.625397,224.766525,235.219666]]|[[-16.179230,-10.873055,456.625397],[470.331512,235.219666,249.021454]]|[[-79.222305,-58.688412,349.604309],[405.437836,229.996750,226.993134]]|[[-58.688412,-45.101810,405.437836],[450.479492,226.993134,226.247467]]|[[-45.101810,-34.798931,450.479492],[474.603455,226.247467,238.383408]]|[[-34.798931,-27.689949,474.603455],[486.720062,238.383408,254.197556]]|[[-89.010559,-78.282150,358.016296],[410.378387,233.741226,231.951096]]|[[-78.282150,-69.814331,410.378387],[452.218048,231.951096,235.369522]]|[[-69.814331,-62.744610,452.218048],[472.208344,235.369522,246.469803]]|[[-62.744610,-57.079922,472.208344],[484.301086,246.469803,259.076050]]|[[-101.176880,-98.329300,359.855835],[409.200439,241.486816,238.690613]]|[[-98.329300,-98.865341,409.200439],[437.222809,238.690613,235.740448]]|[[-98.865341,-95.243210,437.222809],[456.877808,235.740448,239.343918]]|[[-95.243210,-89.512405,456.877808],[470.157166,239.343918,245.410553]]|[[-230.802078,146.363480,269.069000],[-94.794220,330.802246,244.127426]]
0.172000|[-66.144615,388.360168,232.929489]|[[-51.433914,-51.433914,339.117340],[339.117340,249.348114,249.348114]]|[[-51.433914,-19.929646,339.117340],[356.454712,249.348114,251.061035]]|[[-19.929646,2.771355,356.454712],[378.891235,251.061035,256.337158]]|[[2.771355,10.352959,378.891235],[400.647430,256.337158,264.644501]]|[[-63.203655,-33.518642,340.311981],[395.605621,228.270599,224.238464]]|[[-33.518642,-23.491434,395.605621],[434.037598,224.238464,221.839386]]|[[-23.491434,-16.165154,434.037598],[456.799225,221.839386,231.316330]]|[[-16.165154,-10.784219,456.799225],[471.287048,231.316330,244.294220]]|[[-79.319458,-58.592796,349.283295],[405.109497,227.887497,224.643875]]|[[-58.592796,-45.016556,405.109497],[450.217041,224.643875,223.990448]]|[[-45.016556,-35.116257,450.217041],[474.498077,223.990448,236.102310]]|[[-35.116257,-28.210268,474.498077],[486.893402,236.102310,251.844284]]|[[-89.102112,-78.213402,357.748535],[410.132324,231.444534,229.342514]]|[[-78.213402,-69.407555,410.132324],[451.946960,229.342514,233.038269]]|[[-69.407555,-62.350155,451.946960],[471.819794,233.038269,244.350342]]|[[-62.350155,-56.685871,471.819794],[483.845337,244.350342,257.161438]]|[[-101.336853,-98.335197,359.672485],[409.045959,238.992722,235.826462]]|[[-98.335197,-98.868317,409.045959],[437.115295,235.826462,232.368652]]|[[-98.868317,-95.304222,437.115295],[456.940735,232.368652,235.606812]]|[[-95.304222,-89.593025,456.940735],[470.612122,235.606812,241.465210]]|[[-231.227066,145.977112,267.301849],[-95.070107,330.608551,241.983826]]
0.187000|[-66.874664,387.984863,231.448624]|[[-52.127384,-52.127384,338.872589],[338.872589,248.158905,248.158905]]|[[-52.127384,-20.696833,338.872589],[356.304077,248.158905,249.791946]]|[[-20.696833,1.899384,356.304077],[378.854645,249.791946,254.964127]]|[[1.899384,9.194324,378.854645],[400.640320,254.964127,263.246552]]|[[-63.836235,-34.239082,339.924347],[395.285522,227.041321,222.827835]]|[[-34.239082,-24.220747,395.285522],[433.644684,222.827835,220.272934]]|[[-24.220747,-16.998142,433.644684],[456.469727,220.272934,229.705048]]|[[-16.998142,-11.749678,456.469727],[471.162811,229.705048,242.584015]]|[[-79.951691,-59.320816,348.826996],[404.706085,226.555344,223.098404]]|[[-59.320816,-46.040661,404.706085],[450.026184,223.098404,222.539230]]|[[-46.040661,-36.314922,450.026184],[474.424408,222.539230,234.725037]]|[[-36.314922,-29.547249,474.424408],[486.830109,234.725037,250.532150]]|[[-89.758255,-78.966545,357.291595],[409.711884,230.037842,227.707703]]|[[-78.966545,-69.797234,409.711884],[451.443237,227.707703,231.930557]]|[[-69.797234,-62.634109,451.443237],[470.895905,231.930557,243.856003]]|[[-62.634109,-56.996265,470.895905],[482.397217,243.856003,257.030701]]|[[-102.016716,-99.105949,359.215515],[408.602234,237.550858,234.145004]]|[[-99.105949,-99.476196,408.602234],[436.698608,234.145004,230.803391]]|[[-99.476196,-95.748077,436.698608],[456.565979,230.803391,234.318970]]|[[-95.748077,-89.973511,456.565979],[470.159668,234.318970,240.661682]]|[[-231.865646,145.482040,266.516968],[-95.732498,330.196320,240.699493]]
0.204000|[-66.947289,387.412506,230.600143]|[[-52.158318,-52.158318,338.392761],[338.392761,247.496078,247.496078]]|[[-52.158318,-20.758350,338.392761],[355.874512,247.496078,249.021347]]|[[-20.758350,1.772274,355.874512],[378.533691,249.021347,254.083572]]|[[1.772274,8.781492,378.533691],[400.461121,254.083572,262.324158]]|[[-63.844280,-34.308010,339.331116],[394.717499,226.381882,221.996643]]|[[-34.308010,-24.311769,394.717499],[433.066406,221.996643,219.439835]]|[[-24.311769,-17.180883,433.066406],[455.900818,219.439835,228.908203]]|[[-17.180883,-12.021172,455.900818],[470.622650,228.908203,241.839447]]|[[-79.972351,-59.404507,348.222443],[404.118652,225.824265,222.184616]]|[[-59.404507,-46.161274,404.118652],[449.464539,222.184616,221.713501]]|[[-46.161274,-36.449928,449.464539],[473.761993,221.713501,234.096603]]|[[-36.449928,-29.739706,473.761993],[485.920959,234.096603,250.134369]]|[[-89.793976,-79.063065,356.681549],[409.110687,229.272552,226.762375]]|[[-79.063065,-69.775276,409.110687],[450.845032,226.762375,231.008240]]|[[-69.775276,-62.561920,450.845032],[470.243896,231.008240,242.956100]]|[[-62.561920,-56.922977,470.243896],[481.717102,242.956100,256.162445]]|[[-102.057243,-99.203125,358.612061],[407.993774,236.781219,233.198242]]|[[-99.203125,-99.541573,407.993774],[436.108154,233.198242,229.976700]]|[[-99.541573,-95.784630,436.108154],[455.948486,229.976700,233.813904]]|[[-95.784630,-90.028038,455.948486],[469.438538,233.813904,240.476913]]|[[-231.851166,144.922424,266.311066],[-95.753288,329.620941,240.029068]]
0.220000|[-66.867447,386.605011,229.950928]|[[-52.034897,-52.034897,337.639771],[337.639771,246.989899,246.989899]]|[[-52.034897,-20.655869,337.639771],[355.163025,246.989899,248.274231]]|[[-20.655869,1.903726,355.163025],[377.864136,248.274231,253.044876]]|[[1.903726,8.985577,377.864136],[399.874756,253.044876,261.063263]]|[[-63.693188,-34.216549,338.514099],[393.904114,225.865845,221.388779]]|[[-34.216549,-24.265924,393.904114],[432.293121,221.388779,218.854950]]|[[-24.265924,-17.267176,432.293121],[455.205780,218.854950,228.292587]]|[[-17.267176,-12.182818,455.205780],[470.075470,228.292587,241.165604]]|[[-79.842041,-59.332836,347.404388],[403.296570,225.246933,221.500656]]|[[-59.332836,-46.147839,403.296570],[448.658783,221.500656,221.014359]]|[[-46.147839,-36.506008,448.658783],[472.955994,221.014359,233.392960]]|[[-36.506008,-29.868515,472.955994],[485.167786,233.392960,249.321381]]|[[-89.684456,-79.007362,355.862152],[408.280792,228.664825,226.041656]]|[[-79.007362,-69.567711,408.280792],[450.036316,226.041656,230.124359]]|[[-69.567711,-62.284748,450.036316],[469.512451,230.124359,241.958405]]|[[-62.284748,-56.596821,469.512451],[481.122650,241.958405,255.109222]]|[[-101.964066,-99.156693,357.805603],[407.166870,236.148483,232.448700]]|[[-99.156693,-99.535728,407.166870],[435.306793,232.448700,229.168518]]|[[-99.535728,-95.849075,435.306793],[455.201508,229.168518,232.985672]]|[[-95.849075,-90.134811,455.201508],[468.798767,232.985672,239.571838]]|[[-231.674713,144.247833,266.248596],[-95.625290,328.828827,239.486969]]
0.234000|[-66.979248,385.963440,229.460754]|[[-52.129448,-52.129448,337.034424],[337.034424,246.595627,246.595627]]|[[-52.129448,-20.751850,337.034424],[354.589539,246.595627,247.659836]]|[[-20.751850,1.855316,354.589539],[377.306000,247.659836,252.257477]]|[[1.855316,9.059420,377.306000],[399.367432,252.257477,260.159363]]|[[-63.764965,-34.313446,337.868286],[393.249176,225.459671,220.938553]]|[[-34.313446,-24.331583,393.249176],[431.665466,220.938553,218.423615]]|[[-24.331583,-17.348467,431.665466],[454.669312,218.423615,227.787964]]|[[-17.348467,-12.250118,454.669312],[469.743317,227.787964,240.518250]]|[[-79.927216,-59.441933,346.760590],[402.640808,224.797775,220.994675]]|[[-59.441933,-46.307453,402.640808],[448.040680,220.994675,220.503540]]|[[-46.307453,-36.728928,448.040680],[472.402618,220.503540,232.826065]]|[[-36.728928,-30.090528,472.402618],[484.766876,232.826065,248.629532]]|[[-89.782913,-79.127174,355.218750],[407.623962,228.192749,225.504776]]|[[-79.127174,-69.518974,407.623962],[449.390228,225.504776,229.550323]]|[[-69.518974,-62.195576,449.390228],[468.906342,229.550323,241.359222]]|[[-62.195576,-56.469959,468.906342],[480.621429,241.359222,254.502975]]|[[-102.078041,-99.287247,357.176727],[406.520447,235.651031,231.880981]]|[[-99.287247,-99.726334,406.520447],[434.684570,231.880981,228.504013]]|[[-99.726334,-96.137993,434.684570],[454.677368,228.504013,232.174133]]|[[-96.137993,-90.471802,454.677368],[468.455963,232.174133,238.592865]]|[[-231.707443,143.698868,266.094971],[-95.718277,328.206635,239.051559]]
0.250000|[-67.243858,385.317108,228.954559]|[[-52.353783,-52.353783,336.392700],[336.392700,246.073532,246.073532]]|[[-52.353783,-21.006031,336.392700],[353.996002,246.073532,247.056427]]|[[-21.006031,1.615372,353.996002],[376.720337,247.056427,251.645325]]|[[1.615372,8.867958,376.720337],[398.779022,251.645325,259.563904]]|[[-64.003654,-34.583073,337.230743],[392.615234,224.956818,220.404144]]|[[-34.583073,-24.572416,392.615234],[431.051910,220.404144,217.944748]]|[[-24.572416,-17.565634,431.051910],[454.101044,217.944748,227.287613]]|[[-17.565634,-12.406089,454.101044],[469.259155,227.287613,239.956451]]|[[-80.177361,-59.721237,346.115082],[401.995300,224.304565,220.478378]]|[[-59.721237,-46.618179,401.995300],[447.441437,220.478378,219.996429]]|[[-46.618179,-37.042076,447.441437],[471.855865,219.996429,232.295578]]|[[-37.042076,-30.359997,471.855865],[484.305786,232.295578,248.049347]]|[[-90.036781,-79.406303,354.567291],[406.969147,227.707504,225.005951]]|[[-79.406303,-69.658920,406.969147],[448.703949,225.005951,229.200302]]|[[-69.658920,-62.310722,448.703949],[468.161407,229.200302,241.139984]]|[[-62.310722,-56.569386,468.161407],[479.806305,241.139984,254.350662]]|[[-102.328064,-99.561195,356.522461],[405.859894,235.180557,231.404831]]|[[-99.561195,-100.114746,405.859894],[434.036774,231.404831,227.935089]]|[[-100.114746,-96.650139,434.036774],[454.129028,227.935089,231.446121]]|[[-96.650139,-91.035172,454.129028],[468.061005,231.446121,237.701035]]|[[-231.878998,143.083481,265.852356],[-95.948769,327.559662,238.579559]]
0.266000|[-67.397820,384.695984,228.609528]|[[-52.471252,-52.471252,335.760895],[335.760895,245.652847,245.652847]]|[[-52.471252,-21.146849,335.760895],[353.383362,245.652847,246.695389]]|[[-21.146849,1.471856,353.383362],[376.079865,246.695389,251.385147]]|[[1.471856,8.715491,376.079865],[398.099976,251.385147,259.436584]]|[[-64.132874,-34.743698,336.623749],[392.012848,224.564575,220.039459]]|[[-34.743698,-24.729689,392.012848],[430.444031,220.039459,217.678940]]|[[-24.729689,-17.719894,430.444031],[453.452087,217.678940,227.118835]]|[[-17.719894,-12.549614,453.452087],[468.538116,227.118835,239.919662]]|[[-80.315697,-59.888557,345.502960],[401.383606,223.923325,220.134872]]|[[-59.888557,-46.714214,401.383606],[446.813904,220.134872,219.635361]]|[[-46.714214,-37.023232,446.813904],[471.218933,219.635361,231.894562]]|[[-37.023232,-30.200554,471.218933],[483.701416,231.894562,247.608902]]|[[-90.180519,-79.574524,353.946045],[406.344116,227.348267,224.691315]]|[[-79.574524,-69.767166,406.344116],[448.026062,224.691315,229.089920]]|[[-69.767166,-62.412060,448.026062],[467.392181,229.089920,241.141068]]|[[-62.412060,-56.662872,467.392181],[478.952087,241.141068,254.393631]]|[[-102.469017,-99.725098,355.888733],[405.221283,234.849716,231.124161]]|[[-99.725098,-100.359871,405.221283],[433.404877,231.124161,227.571625]]|[[-100.359871,-96.952736,433.404877],[453.556732,227.571625,231.024597]]|[[-96.952736,-91.345581,453.556732],[467.590973,231.024597,237.231262]]|[[-231.953415,142.492020,265.555969],[-96.068512,326.932037,238.207169]]
0.282000|[-67.358032,384.147491,228.285751]|[[-52.424789,-52.424789,335.194275],[335.194275,245.276154,245.276154]]|[[-52.424789,-21.099764,335.194275],[352.779755,245.276154,246.383270]]|[[-21.099764,1.532339,352.779755],[375.411652,246.383270,251.164688]]|[[1.532339,8.791815,375.411652],[397.418701,251.164688,259.295929]]|[[-64.094002,-34.705086,336.081146],[391.461151,224.204803,219.705124]]|[[-34.705086,-24.711788,391.461151],[429.892090,219.705124,217.408997]]|[[-24.711788,-17.726137,429.892090],[452.829041,217.408997,226.958527]]|[[-17.726137,-12.599674,452.829041],[467.780060,226.958527,239.915375]]|[[-80.280716,-59.851841,344.968353],[400.840424,223.571518,219.814819]]|[[-59.851841,-46.499535,400.840424],[446.209076,219.814819,219.289062]]|[[-46.499535,-36.639202,446.209076],[470.526520,219.289062,231.529327]]|[[-36.639202,-29.709200,470.526520],[482.942322,231.529327,247.254959]]|[[-90.147224,-79.537643,353.408783],[405.799225,227.011093,224.389526]]|[[-79.537643,-69.666855,405.799225],[447.422638,224.389526,228.952621]]|[[-69.666855,-62.291866,447.422638],[466.666565,228.952621,241.097626]]|[[-62.291866,-56.533562,466.666565],[478.137146,241.097626,254.385483]]|[[-102.433044,-99.685425,355.348053],[404.675385,234.529388,230.842224]]|[[-99.685425,-100.362091,404.675385],[432.859558,230.842224,227.222717]]|[[-100.362091,-96.972900,432.859558],[453.052704,227.222717,230.617737]]|[[-96.972900,-91.358337,453.052704],[467.174561,230.617737,236.770828]]|[[-231.915237,142.002731,265.238617],[-96.026665,326.390106,237.858917]]
0.297000|[-67.219215,383.638428,227.865875]|[[-52.321701,-52.321701,334.673889],[334.673889,244.862473,244.862473]]|[[-52.321701,-20.981392,334.673889],[352.212921,244.862473,245.998383]]|[[-20.981392,1.680443,352.212921],[374.789001,245.998383,250.805115]]|[[1.680443,8.981701,374.789001],[396.811432,250.805115,258.933289]]|[[-63.984661,-34.557499,335.568359],[390.919220,223.789841,219.286148]]|[[-34.557499,-24.587929,390.919220],[429.352936,219.286148,216.992340]]|[[-24.587929,-17.626184,429.352936],[452.251862,216.992340,226.558777]]|[[-17.626184,-12.538590,452.251862],[467.148987,226.558777,239.536301]]|[[-80.169807,-59.701275,344.475403],[400.325043,223.154953,219.393829]]|[[-59.701275,-46.182751,400.325043],[445.636627,219.393829,218.842575]]|[[-46.182751,-36.227612,445.636627],[469.879364,218.842575,231.081833]]|[[-36.227612,-29.279335,469.879364],[482.232422,231.081833,246.840790]]|[[-90.034599,-79.386841,352.923096],[405.299072,226.594437,223.968353]]|[[-79.386841,-69.445206,405.299072],[446.875488,223.968353,228.611435]]|[[-69.445206,-62.058342,446.875488],[466.024750,228.611435,240.807663]]|[[-62.058342,-56.303547,466.024750],[477.449524,240.807663,254.121140]]|[[-102.319954,-99.535484,354.874023],[404.193024,234.110214,230.418747]]|[[-99.535484,-100.180321,404.193024],[432.384003,230.418747,226.720261]]|[[-100.180321,-96.739250,432.384003],[452.617737,226.720261,230.058334]]|[[-96.739250,-91.075333,452.617737],[466.817596,230.058334,236.185059]]|[[-231.824860,141.571640,264.870026],[-95.923325,325.908264,237.444107]]
