0.00,82,174,179,182
0.27,4,182,156,172
0.54,0,168,183,139
0.80,0,164,177,149
1.07,156,161,177,156
1.33,175,162,161,175
1.60,66,175,163,165
1.87,7,167,174,162
2.13,0,170,179,172
2.40,0,174,171,178
2.66,179,175,173,178
2.93,175,180,175,176
3.18,79,176,183,178
3.46,0,177,183,179
3.73,0,179,180,184
3.98,0,184,178,180
4.26,180,185,181,179
4.51,183,181,186,182
4.78,2,183,188,182
5.04,0,182,183,187
5.31,0,190,183,184
5.58,0,184,193,186
5.84,187,184,192,188
6.11,87,185,190,186
6.37,9,183,185,188
6.64,0,188,183,184
6.90,0,185,189,184
7.17,185,184,189,184
7.44,183,184,188,182
7.70,88,182,184,187
7.97,3,186,182,184
8.23,0,183,189,184
8.50,0,184,191,184
8.75,182,186,189,182
9.03,189,177,186,188
9.30,75,187,169,173
9.55,6,161,151,113
9.83,8,130,137,96
