Timestamp|Palm|ThumbStart|ThumbMid|ThumbEnd|IndexStart|IndexMid1|IndexMid2|IndexEnd|MiddleStart|MiddleMid1|MiddleMid2|MiddleEnd|RingStart|RingMid1|RingMid2|RingEnd|PinkyStart|PinkyMid1|PinkyMid2|PinkyEnd|Arm SecondHand --> 
0.272000|[[-41.569256,230.679642,112.905487],[0.211429,0.044325,0.035129,0.975756]]|[[-62.862007,203.630234,146.947632],[-62.862007,203.630234,146.947632],[0.306086,0.118360,0.564169,0.757639]]|[[-62.862007,203.630234,146.947632],[-81.569290,198.111954,118.929863],[0.124655,0.272205,0.626426,0.719691]]|[[-81.569290,198.111954,118.929863],[-93.216705,191.674805,92.547951],[0.051966,0.225561,0.649724,0.724073]]|[[-93.216705,191.674805,92.547951],[-98.303986,186.996689,70.864403],[-0.000617,0.153645,0.666139,0.729830]]|[[-55.643005,222.853348,153.736374],[-70.160858,237.007324,100.854576],[0.135056,0.122076,0.062108,0.981326]]|[[-70.160858,237.007324,100.854576],[-76.242798,242.886871,64.773094],[0.084909,0.077367,0.062856,0.991390]]|[[-76.242798,242.886871,64.773094],[-77.121834,239.595718,40.520824],[-0.065994,0.022746,0.070164,0.995090]]|[[-77.121834,239.595718,40.520824],[-77.578354,234.211807,20.536585],[-0.130050,0.020561,0.071342,0.988724]]|[[-39.353584,226.690872,150.042252],[-45.909496,241.053314,98.705620],[0.133137,0.066069,-0.031939,0.988377]]|[[-45.909496,241.053314,98.705620],[-45.126156,247.237854,55.157330],[0.070769,-0.006270,-0.037779,0.996757]]|[[-45.126156,247.237854,55.157330],[-43.591331,241.850082,27.760225],[-0.095590,-0.031533,-0.040525,0.994096]]|[[-43.591331,241.850082,27.760225],[-42.775021,234.586304,7.833842],[-0.172646,-0.027099,-0.042943,0.983674]]|[[-28.067173,226.429260,144.775375],[-26.691677,239.821274,98.469978],[0.140952,-0.003149,-0.079007,0.986854]]|[[-26.691677,239.821274,98.469978],[-23.636307,248.653534,58.174904],[0.110197,-0.028080,-0.082924,0.990046]]|[[-23.636307,248.653534,58.174904],[-22.991919,245.606369,33.945644],[-0.061061,-0.018637,-0.087070,0.994154]]|[[-22.991919,245.606369,33.945644],[-22.545923,239.522552,14.518703],[-0.149407,-0.024367,-0.087526,0.984593]]|[[-15.971863,221.781372,144.293991],[-8.574768,236.046188,102.646645],[0.174452,-0.055487,-0.166680,0.968868]]|[[-8.574768,236.046188,102.646645],[-3.222923,243.149429,75.642342],[0.141202,-0.071809,-0.172110,0.972257]]|[[-3.222923,243.149429,75.642342],[-0.228030,242.961060,54.518307],[0.008547,-0.069944,-0.183107,0.980564]]|[[-0.228030,242.961060,54.518307],[0.986402,239.861618,35.829239],[-0.074415,-0.047030,-0.188368,0.978145]]|[[13.583473,144.318848,358.952057],[-29.135077,211.098648,166.818253],[0.168544,0.096941,0.046263,0.979824]]
0.288000|[[-41.815369,231.904251,113.378845],[0.218705,0.047291,0.028371,0.974232]]|[[-63.048676,204.408432,147.233902],[-63.048676,204.408432,147.233902],[0.314797,0.115992,0.558788,0.758423]]|[[-63.048676,204.408432,147.233902],[-81.736397,197.958160,119.258286],[0.114077,0.280455,0.627488,0.717349]]|[[-81.736397,197.958160,119.258286],[-92.352348,190.791428,92.609848],[0.031517,0.219909,0.654673,0.722530]]|[[-92.352348,190.791428,92.609848],[-96.514732,185.756393,71.034004],[-0.019660,0.145149,0.670946,0.726896]]|[[-55.700035,223.733887,154.094009],[-70.522224,238.808823,101.580017],[0.143032,0.125371,0.056177,0.980137]]|[[-70.522224,238.808823,101.580017],[-76.879517,243.833054,65.403046],[0.073214,0.082029,0.059472,0.992156]]|[[-76.879517,243.833054,65.403046],[-78.254066,239.812180,41.447319],[-0.080797,0.034015,0.068759,0.993774]]|[[-78.254066,239.812180,41.447319],[-79.018539,233.811264,21.650057],[-0.144838,0.029119,0.070844,0.986486]]|[[-39.378201,227.460068,150.436691],[-46.226181,242.621933,99.394981],[0.140372,0.070075,-0.038295,0.986873]]|[[-46.226181,242.621933,99.394981],[-45.230064,247.995514,55.607552],[0.061447,-0.008591,-0.044277,0.997091]]|[[-45.230064,247.995514,55.607552],[-43.785339,242.085403,28.112478],[-0.104228,-0.030755,-0.046887,0.992972]]|[[-43.785339,242.085403,28.112478],[-42.787762,234.184677,7.999859],[-0.184522,-0.032645,-0.048614,0.981082]]|[[-28.069817,227.055267,145.020569],[-26.956556,241.076935,98.918793],[0.147521,0.001137,-0.085876,0.985323]]|[[-26.956556,241.076935,98.918793],[-23.510771,249.416824,58.334164],[0.104301,-0.032253,-0.091218,0.989828]]|[[-23.510771,249.416824,58.334164],[-22.544834,245.763351,33.916775],[-0.071901,-0.026695,-0.096607,0.992363]]|[[-22.544834,245.763351,33.916775],[-21.827785,239.015930,13.989863],[-0.159949,-0.033226,-0.097468,0.981740]]|[[-15.939192,222.062073,144.460342],[-8.753642,236.814819,102.969437],[0.180154,-0.050873,-0.173957,0.966796]]|[[-8.753642,236.814819,102.969437],[-3.201238,243.616562,75.786568],[0.136544,-0.074575,-0.181429,0.971019]]|[[-3.201238,243.616562,75.786568],[-0.530187,243.069794,54.907436],[-0.000531,-0.064878,-0.192129,0.979223]]|[[-0.530187,243.069794,54.907436],[0.592663,239.498672,36.421272],[-0.087328,-0.048173,-0.197114,0.975295]]|[[10.566340,138.067337,357.132721],[-29.289076,211.296753,166.841614],[0.183768,0.090868,0.038363,0.978008]]
0.304000|[[-41.835007,232.268127,113.503433],[0.220363,0.047737,0.027188,0.973870]]|[[-63.082794,204.678955,147.253311],[-63.082794,204.678955,147.253311],[0.316580,0.115305,0.557891,0.758446]]|[[-63.082794,204.678955,147.253311],[-81.778809,197.933121,119.453033],[0.111587,0.284271,0.628125,0.715679]]|[[-81.778809,197.933121,119.453033],[-92.050850,190.576538,92.727081],[0.025595,0.217514,0.656931,0.721439]]|[[-92.050850,190.576538,92.727081],[-95.806969,185.438507,71.168800],[-0.027165,0.140441,0.673523,0.725194]]|[[-55.701977,223.993607,154.180481],[-70.567001,239.269577,101.747368],[0.144807,0.125860,0.055178,0.979870]]|[[-70.567001,239.269577,101.747368],[-77.008110,244.134735,65.528496],[0.071022,0.083242,0.059054,0.992240]]|[[-77.008110,244.134735,65.528496],[-78.479332,240.065689,41.564327],[-0.081595,0.036031,0.068562,0.993652]]|[[-78.479332,240.065689,41.564327],[-79.313454,234.062683,21.704269],[-0.144324,0.030714,0.070780,0.986518]]|[[-39.375935,227.720810,150.556244],[-46.265751,243.061127,99.583336],[0.142024,0.070726,-0.039389,0.986547]]|[[-46.265751,243.061127,99.583336],[-45.121124,248.180511,55.693596],[0.058543,-0.010313,-0.045496,0.997194]]|[[-45.121124,248.180511,55.693596],[-43.673191,242.228439,28.149900],[-0.104729,-0.030926,-0.048196,0.992851]]|[[-43.673191,242.228439,28.149900],[-42.552872,234.318939,7.938158],[-0.183680,-0.035555,-0.049596,0.981090]]|[[-28.056894,227.307068,145.103760],[-26.981997,241.473602,99.054184],[0.149058,0.001856,-0.087085,0.984984]]|[[-26.981997,241.473602,99.054184],[-23.210260,249.550797,58.337139],[0.101295,-0.036174,-0.093178,0.989823]]|[[-23.210260,249.550797,58.337139],[-22.035255,245.835541,33.804577],[-0.072282,-0.031071,-0.099199,0.991952]]|[[-22.035255,245.835541,33.804577],[-21.159550,239.069977,13.727364],[-0.158725,-0.037274,-0.100408,0.981496]]|[[-15.912748,222.200760,144.526047],[-8.758058,237.069687,103.079659],[0.181537,-0.050061,-0.175255,0.966346]]|[[-8.758058,237.069687,103.079659],[-3.069863,243.609543,75.775993],[0.132177,-0.077236,-0.183757,0.970977]]|[[-3.069863,243.609543,75.775993],[-0.504961,242.767517,54.937645],[-0.007770,-0.063900,-0.194551,0.978778]]|[[-0.504961,242.767517,54.937645],[0.627548,238.927765,36.504608],[-0.094232,-0.050105,-0.199374,0.974094]]|[[9.754410,134.188461,355.684113],[-29.313578,211.335602,166.821274],[0.193552,0.089030,0.036767,0.976350]]
0.319000|[[-41.741299,232.254990,113.376373],[0.220753,0.047690,0.026706,0.973797]]|[[-63.009392,204.661972,147.071777],[-63.009392,204.661972,147.071777],[0.316968,0.114993,0.557527,0.758598]]|[[-63.009392,204.661972,147.071777],[-81.796829,197.829742,119.481003],[0.112206,0.287263,0.628082,0.714425]]|[[-81.796829,197.829742,119.481003],[-91.937492,190.447723,92.777626],[0.024050,0.216472,0.658024,0.720809]]|[[-91.937492,190.447723,92.777626],[-95.575096,185.306198,71.231430],[-0.028881,0.138741,0.674628,0.724426]]|[[-55.618221,223.959183,154.036774],[-70.476311,239.290100,101.616333],[0.145245,0.125842,0.054721,0.979833]]|[[-70.476311,239.290100,101.616333],[-76.941925,244.003784,65.340210],[0.068900,0.083601,0.058964,0.992364]]|[[-76.941925,244.003784,65.340210],[-78.431152,239.849350,41.345528],[-0.083182,0.036461,0.068571,0.993504]]|[[-78.431152,239.849350,41.345528],[-79.272652,233.812592,21.425602],[-0.144668,0.030860,0.070810,0.986461]]|[[-39.294453,227.683319,150.439453],[-46.176857,243.069489,99.478050],[0.142430,0.070746,-0.039870,0.986468]]|[[-46.176857,243.069489,99.478050],[-44.835068,247.964417,55.509880],[0.056031,-0.012607,-0.046146,0.997282]]|[[-44.835068,247.964417,55.509880],[-43.294201,241.951462,27.952873],[-0.105603,-0.032700,-0.049104,0.992657]]|[[-43.294201,241.951462,27.952873],[-42.080441,234.063171,7.720252],[-0.182884,-0.037859,-0.050529,0.981105]]|[[-27.970100,227.266281,144.975281],[-26.888031,241.466858,98.935188],[0.149425,0.001891,-0.087592,0.984884]]|[[-26.888031,241.466858,98.935188],[-22.888281,249.404938,58.163631],[0.099798,-0.038929,-0.094126,0.989780]]|[[-22.888281,249.404938,58.163631],[-21.584505,245.710266,33.598396],[-0.071465,-0.033666,-0.100522,0.991794]]|[[-21.584505,245.710266,33.598396],[-20.612371,239.013885,13.473128],[-0.156538,-0.039580,-0.101950,0.981598]]|[[-15.817003,222.103027,144.399979],[-8.653589,236.996414,102.962784],[0.181863,-0.050011,-0.175775,0.966193]]|[[-8.653589,236.996414,102.962784],[-2.871408,243.476959,75.610260],[0.131292,-0.078798,-0.184650,0.970803]]|[[-2.871408,243.476959,75.610260],[-0.313935,242.612122,54.797325],[-0.008289,-0.063917,-0.195449,0.978594]]|[[-0.313935,242.612122,54.797325],[0.883971,238.805939,36.360210],[-0.092956,-0.051702,-0.200159,0.973973]]|[[9.448896,131.551636,354.554871],[-29.245867,211.178802,166.639572],[0.199798,0.088118,0.036070,0.975200]]
0.335000|[[-41.601280,232.057938,113.029602],[0.220534,0.047523,0.026888,0.973850]]|[[-62.872520,204.481094,146.702499],[-62.872520,204.481094,146.702499],[0.316674,0.114999,0.557682,0.758606]]|[[-62.872520,204.481094,146.702499],[-81.735115,197.607742,119.251144],[0.112981,0.289218,0.628115,0.713484]]|[[-81.735115,197.607742,119.251144],[-91.805374,190.235046,92.557915],[0.023557,0.215658,0.658783,0.720376]]|[[-91.805374,190.235046,92.557915],[-95.337524,185.140533,71.015381],[-0.029637,0.136459,0.675472,0.724043]]|[[-55.499516,223.773041,153.671310],[-70.340263,239.077621,101.237617],[0.145008,0.125669,0.054870,0.979882]]|[[-70.340263,239.077621,101.237617],[-76.798965,243.715027,64.916634],[0.067819,0.083470,0.059227,0.992434]]|[[-76.798965,243.715027,64.916634],[-78.259743,239.557938,40.910053],[-0.083233,0.035879,0.068743,0.993509]]|[[-78.259743,239.557938,40.910053],[-79.070839,233.541092,20.965195],[-0.144103,0.030080,0.070947,0.986558]]|[[-39.180367,227.506775,150.104507],[-46.045975,242.869553,99.133209],[0.142219,0.070552,-0.039709,0.986519]]|[[-46.045975,242.869553,99.133209],[-44.519634,247.650513,55.116703],[0.054787,-0.014735,-0.046186,0.997321]]|[[-44.519634,247.650513,55.116703],[-42.861549,241.666626,27.582052],[-0.105052,-0.034822,-0.049433,0.992627]]|[[-42.861549,241.666626,27.582052],[-41.577991,233.851639,7.355104],[-0.181253,-0.039536,-0.051044,0.981315]]|[[-27.850546,227.091934,144.641205],[-26.753315,241.273544,98.595085],[0.149235,0.001687,-0.087416,0.984929]]|[[-26.753315,241.273544,98.595085],[-22.621719,249.250549,57.811024],[0.100350,-0.040438,-0.094135,0.989663]]|[[-22.621719,249.250549,57.811024],[-21.232262,245.752274,33.233646],[-0.067360,-0.035002,-0.100659,0.992021]]|[[-21.232262,245.752274,33.233646],[-20.209698,239.328583,13.077497],[-0.150153,-0.040198,-0.102264,0.982538]]|[[-15.685431,221.905121,144.084351],[-8.508929,236.783295,102.643440],[0.181703,-0.050224,-0.175583,0.966246]]|[[-8.508929,236.783295,102.643440],[-2.576180,243.273788,75.276634],[0.131797,-0.081238,-0.184784,0.970508]]|[[-2.576180,243.273788,75.276634],[0.110195,242.474274,54.473236],[-0.006128,-0.066630,-0.195837,0.978351]]|[[0.110195,242.474274,54.473236],[1.441913,238.793594,36.001198],[-0.088825,-0.054502,-0.200692,0.974096]]|[[9.225476,129.561539,353.513489],[-29.133421,210.935196,166.276566],[0.204245,0.087205,0.036035,0.974362]]
0.350000|[[-41.396118,231.942505,112.673691],[0.219779,0.047373,0.027574,0.974009]]|[[-62.655369,204.403824,146.333847],[-62.655369,204.403824,146.333847],[0.315870,0.115366,0.558199,0.758506]]|[[-62.655369,204.403824,146.333847],[-81.603195,197.483871,119.016579],[0.113816,0.291245,0.628249,0.712408]]|[[-81.603195,197.483871,119.016579],[-91.608757,190.100952,92.342598],[0.022939,0.215165,0.659689,0.719714]]|[[-91.608757,190.100952,92.342598],[-94.963669,185.021729,70.808197],[-0.031955,0.133538,0.676767,0.723280]]|[[-55.324032,223.691833,153.298599],[-70.149216,238.899109,100.839973],[0.144199,0.125489,0.055469,0.979991]]|[[-70.149216,238.899109,100.839973],[-76.557159,243.546570,64.520638],[0.067962,0.082763,0.059650,0.992458]]|[[-76.557159,243.546570,64.520638],[-77.910881,239.432922,40.532429],[-0.082585,0.033673,0.068913,0.993628]]|[[-77.910881,239.432922,40.532429],[-78.626846,233.446793,20.598730],[-0.143663,0.027758,0.070993,0.986687]]|[[-39.006042,227.453201,149.759872],[-45.858143,242.731232,98.768486],[0.141472,0.070299,-0.039066,0.986670]]|[[-45.858143,242.731232,98.768486],[-44.148170,247.563324,54.757324],[0.055450,-0.016800,-0.045845,0.997267]]|[[-44.148170,247.563324,54.757324],[-42.351337,241.708069,27.284576],[-0.102912,-0.037277,-0.049444,0.992761]]|[[-42.351337,241.708069,27.284576],[-40.994465,234.089569,7.111762],[-0.177389,-0.041244,-0.051290,0.981938]]|[[-27.668182,227.046143,144.304764],[-26.560087,241.160751,98.244759],[0.148549,0.001406,-0.086722,0.985094]]|[[-26.560087,241.160751,98.244759],[-22.328114,249.454712,57.536266],[0.104290,-0.041365,-0.093477,0.989280]]|[[-22.328114,249.454712,57.536266],[-20.866089,246.381454,33.039318],[-0.058989,-0.035723,-0.100022,0.992592]]|[[-20.866089,246.381454,33.039318],[-19.815220,240.307465,12.924323],[-0.142583,-0.040155,-0.101871,0.983707]]|[[-15.486503,221.848770,143.772964],[-8.303790,236.674500,102.320442],[0.181094,-0.050542,-0.174854,0.966477]]|[[-8.303790,236.674500,102.320442],[-2.169270,243.169601,74.979218],[0.132483,-0.084723,-0.184470,0.970176]]|[[-2.169270,243.169601,74.979218],[0.680434,242.400085,54.224438],[-0.004653,-0.070425,-0.195992,0.978062]]|[[0.680434,242.400085,54.224438],[2.112135,238.787125,35.778934],[-0.086638,-0.056879,-0.201159,0.974061]]|[[9.102476,128.381424,352.715424],[-28.948244,210.860107,165.928680],[0.207123,0.086302,0.036487,0.973818]]
0.366000|[[-41.114170,231.950775,112.397736],[0.219227,0.047056,0.028000,0.974136]]|[[-62.379417,204.449783,146.032150],[-62.379417,204.449783,146.032150],[0.315172,0.115467,0.558558,0.758517]]|[[-62.379417,204.449783,146.032150],[-81.374466,197.484787,118.804840],[0.114115,0.292654,0.628324,0.711716]]|[[-81.374466,197.484787,118.804840],[-91.327042,190.076294,92.147659],[0.022178,0.214949,0.660307,0.719235]]|[[-91.327042,190.076294,92.147659],[-94.587097,185.007294,70.637566],[-0.033181,0.132062,0.677541,0.722770]]|[[-55.082451,223.732834,153.003967],[-69.872742,238.869843,100.521286],[0.143590,0.125155,0.055833,0.980102]]|[[-69.872742,238.869843,100.521286],[-76.193199,243.583847,64.224495],[0.068845,0.081585,0.059701,0.992492]]|[[-76.193199,243.583847,64.224495],[-77.438377,239.581757,40.275299],[-0.080646,0.031330,0.068587,0.993887]]|[[-77.438377,239.581757,40.275299],[-78.101349,233.734863,20.396267],[-0.140973,0.026256,0.070436,0.987156]]|[[-38.764084,227.503143,149.494873],[-45.583389,242.718582,98.486031],[0.140921,0.069909,-0.038671,0.986792]]|[[-45.583389,242.718582,98.486031],[-43.724350,247.707932,54.520672],[0.057337,-0.018417,-0.045768,0.997135]]|[[-43.724350,247.707932,54.520672],[-41.858189,241.957596,27.117231],[-0.101263,-0.038554,-0.049660,0.992871]]|[[-41.858189,241.957596,27.117231],[-40.489010,234.475616,7.026705],[-0.175087,-0.041654,-0.051682,0.982313]]|[[-27.417767,227.099869,144.049194],[-26.281023,241.163467,97.979317],[0.148046,0.000993,-0.086286,0.985209]]|[[-26.281023,241.163467,97.979317],[-22.029276,250.070831,57.457668],[0.111884,-0.041055,-0.092858,0.988521]]|[[-22.029276,250.070831,57.457668],[-20.562424,247.503220,33.080666],[-0.049136,-0.034984,-0.099300,0.993228]]|[[-20.562424,247.503220,33.080666],[-19.528210,241.833832,13.045709],[-0.134031,-0.038962,-0.101272,0.985019]]|[[-15.225450,221.897415,143.542007],[-8.019192,236.681671,102.083611],[0.180658,-0.050983,-0.174382,0.966620]]|[[-8.019192,236.681671,102.083611],[-1.708806,243.151062,74.804344],[0.132783,-0.087960,-0.184403,0.969860]]|[[-1.708806,243.151062,74.804344],[1.251202,242.313339,54.151699],[-0.005716,-0.073644,-0.196498,0.977718]]|[[1.251202,242.313339,54.151699],[2.706574,238.631332,35.845135],[-0.088852,-0.058343,-0.202021,0.973596]]|[[8.920211,127.752838,352.218719],[-28.710052,210.900864,165.666306],[0.208833,0.085188,0.036689,0.973543]]
0.382000|[[-40.771332,232.109863,112.255714],[0.218845,0.046688,0.028626,0.974222]]|[[-62.041004,204.629410,145.847183],[-62.041004,204.629410,145.847183],[0.314558,0.115447,0.559091,0.758381]]|[[-62.041004,204.629410,145.847183],[-81.127602,197.638687,118.717804],[0.115147,0.294272,0.628492,0.710734]]|[[-81.127602,197.638687,118.717804],[-91.053665,190.222641,92.098961],[0.022033,0.214981,0.661083,0.718518]]|[[-91.053665,190.222641,92.098961],[-94.230225,185.169189,70.631851],[-0.034135,0.130803,0.678533,0.722024]]|[[-54.780506,223.900879,152.840958],[-69.533134,238.984482,100.334587],[0.143150,0.124752,0.056396,0.980186]]|[[-69.533134,238.984482,100.334587],[-75.827843,243.850510,64.081642],[0.070958,0.081166,0.059920,0.992364]]|[[-75.827843,243.850510,64.081642],[-77.024712,240.072601,40.177509],[-0.076335,0.030093,0.068430,0.994276]]|[[-77.024712,240.072601,40.177509],[-77.674942,234.430878,20.352180],[-0.136651,0.025664,0.070150,0.987799]]|[[-38.463482,227.689133,149.366226],[-45.247025,242.860855,98.341721],[0.140557,0.069469,-0.038086,0.986898]]|[[-45.247025,242.860855,98.341721],[-43.312393,247.987030,54.411961],[0.058943,-0.019233,-0.045366,0.997045]]|[[-43.312393,247.987030,54.411961],[-41.384155,242.353439,27.066624],[-0.099382,-0.039640,-0.049444,0.993029]]|[[-41.384155,242.353439,27.066624],[-39.991840,235.044876,7.043600],[-0.171843,-0.042176,-0.051576,0.982869]]|[[-27.110966,227.295013,143.932159],[-25.942551,241.327042,97.855331],[0.147744,0.000540,-0.085674,0.985308]]|[[-25.942551,241.327042,97.855331],[-21.714558,250.718903,57.495399],[0.117879,-0.040392,-0.092023,0.987930]]|[[-21.714558,250.718903,57.495399],[-20.262718,248.538086,33.214268],[-0.041563,-0.034025,-0.098321,0.993704]]|[[-20.262718,248.538086,33.214268],[-19.279264,243.235474,13.243266],[-0.126195,-0.036944,-0.100356,0.986224]]|[[-14.910521,222.094635,143.444534],[-7.678310,236.857178,101.984680],[0.180436,-0.051439,-0.173746,0.966752]]|[[-7.678310,236.857178,101.984680],[-1.176571,243.319290,74.745148],[0.133310,-0.091340,-0.184197,0.969514]]|[[-1.176571,243.319290,74.745148],[1.953516,242.459351,54.145241],[-0.005406,-0.077879,-0.196897,0.977311]]|[[1.953516,242.459351,54.145241],[3.504335,238.786362,35.914490],[-0.088377,-0.061106,-0.202795,0.973309]]|[[8.791802,127.406296,351.931458],[-28.412271,211.083740,165.538940],[0.210185,0.084015,0.037101,0.973338]]
0.397000|[[-40.392460,232.366470,112.230713],[0.218431,0.046387,0.028796,0.974324]]|[[-61.680218,204.921661,145.798782],[-61.680218,204.921661,145.798782],[0.314042,0.115449,0.559242,0.758484]]|[[-61.680218,204.921661,145.798782],[-80.889290,197.920731,118.734589],[0.116392,0.295795,0.628299,0.710069]]|[[-80.889290,197.920731,118.734589],[-90.848175,190.506531,92.130150],[0.022549,0.215411,0.661347,0.718129]]|[[-90.848175,190.506531,92.130150],[-93.929405,185.472061,70.685638],[-0.035257,0.129169,0.679205,0.721632]]|[[-54.436424,224.187149,152.804260],[-69.154785,239.223068,100.280319],[0.142716,0.124452,0.056510,0.980281]]|[[-69.154785,239.223068,100.280319],[-75.461502,244.289825,64.090218],[0.073743,0.081271,0.059665,0.992168]]|[[-75.461502,244.289825,64.090218],[-76.648895,240.731537,40.228333],[-0.072025,0.029630,0.067916,0.994647]]|[[-76.648895,240.731537,40.228333],[-77.315002,235.257370,20.440971],[-0.133000,0.025771,0.069582,0.988335]]|[[-38.115715,227.972031,149.347641],[-44.866787,243.099167,98.310875],[0.140160,0.069127,-0.037950,0.986984]]|[[-44.866787,243.099167,98.310875],[-42.923412,248.437836,54.422215],[0.061380,-0.019232,-0.045361,0.996898]]|[[-42.923412,248.437836,54.422215],[-40.983440,243.018127,27.127705],[-0.095807,-0.039778,-0.049498,0.993372]]|[[-40.983440,243.018127,27.127705],[-39.593628,235.925186,7.126498],[-0.167319,-0.042005,-0.051662,0.983652]]|[[-26.758678,227.577805,143.922897],[-25.561703,241.571228,97.839783],[0.147373,0.000181,-0.085508,0.985378]]|[[-25.561703,241.571228,97.839783],[-21.349905,251.252075,57.592102],[0.121510,-0.039967,-0.091695,0.987537]]|[[-21.349905,251.252075,57.592102],[-19.888823,249.339996,33.381557],[-0.036201,-0.033775,-0.097912,0.993963]]|[[-19.888823,249.339996,33.381557],[-18.915424,244.292969,13.450296],[-0.120542,-0.036170,-0.100004,0.986996]]|[[-14.555062,222.378983,143.451370],[-7.298233,237.108032,101.988403],[0.180108,-0.051824,-0.173549,0.966828]]|[[-7.298233,237.108032,101.988403],[-0.665099,243.559402,74.781548],[0.133618,-0.093670,-0.184268,0.969235]]|[[-0.665099,243.559402,74.781548],[2.564578,242.674973,54.241596],[-0.005480,-0.080530,-0.197376,0.976999]]|[[2.564578,242.674973,54.241596],[4.162096,238.998642,36.114426],[-0.088630,-0.062757,-0.203527,0.973028]]|[[8.965944,127.230690,351.722870],[-28.069033,211.363983,165.523651],[0.211371,0.083559,0.037197,0.973117]]
0.413000|[[-39.982529,232.608688,112.219162],[0.217999,0.046101,0.028379,0.974447]]|[[-61.311382,205.227417,145.779266],[-61.311382,205.227417,145.779266],[0.313631,0.115408,0.558914,0.758902]]|[[-61.311382,205.227417,145.779266],[-80.611984,198.234024,118.744560],[0.117250,0.296724,0.627729,0.710045]]|[[-80.611984,198.234024,118.744560],[-90.666336,190.824127,92.137779],[0.023612,0.216403,0.660852,0.718253]]|[[-90.666336,190.824127,92.137779],[-93.774696,185.794174,70.675194],[-0.034779,0.129419,0.678921,0.721878]]|[[-54.056458,224.475494,152.790100],[-68.739128,239.475830,100.248421],[0.142311,0.124212,0.056044,0.980397]]|[[-68.739128,239.475830,100.248421],[-75.061798,244.747208,64.114906],[0.076526,0.081455,0.058835,0.991992]]|[[-75.061798,244.747208,64.114906],[-76.261490,241.382202,40.280510],[-0.068173,0.029599,0.066894,0.994988]]|[[-76.261490,241.382202,40.280510],[-76.971176,236.061691,20.508615],[-0.129475,0.026487,0.068519,0.988858]]|[[-37.729046,228.243271,149.344330],[-44.445290,243.329041,98.292969],[0.139747,0.068844,-0.038394,0.987045]]|[[-44.445290,243.329041,98.292969],[-42.509083,248.941513,54.443508],[0.064505,-0.018977,-0.045954,0.996678]]|[[-42.509083,248.941513,54.443508],[-40.589920,243.790207,27.170853],[-0.091174,-0.039302,-0.050101,0.993797]]|[[-40.589920,243.790207,27.170853],[-39.251995,236.925552,7.123038],[-0.162030,-0.040610,-0.052317,0.984561]]|[[-26.370344,227.835968,143.924774],[-25.141914,241.785538,97.831184],[0.146939,-0.000127,-0.085918,0.985407]]|[[-25.141914,241.785538,97.831184],[-20.939880,251.748581,57.677528],[0.125043,-0.039538,-0.091944,0.987090]]|[[-20.939880,251.748581,57.677528],[-19.475365,250.094650,33.509899],[-0.030980,-0.033407,-0.098073,0.994136]]|[[-19.475365,250.094650,33.509899],[-18.526905,245.270905,13.584396],[-0.115430,-0.035109,-0.100215,0.987624]]|[[-14.170545,222.624176,143.463745],[-6.883756,237.308151,101.991951],[0.179678,-0.052183,-0.173920,0.966822]]|[[-6.883756,237.308151,101.991951],[-0.158297,243.787613,74.838707],[0.134605,-0.095211,-0.184717,0.968863]]|[[-0.158297,243.787613,74.838707],[3.133860,242.948639,54.353985],[-0.004063,-0.081984,-0.198011,0.976757]]|[[3.133860,242.948639,54.353985],[4.760856,239.377106,36.292606],[-0.086006,-0.063281,-0.204221,0.973084]]|[[9.180170,127.190254,351.609406],[-27.700514,211.627075,165.526154],[0.212106,0.083262,0.036742,0.973000]]
