0.00,71,170,175,170
0.27,0,169,175,170
0.54,0,170,172,173
0.80,0,178,166,171
1.07,168,178,169,169
1.33,170,169,178,170
1.60,4,170,182,176
1.86,0,170,172,175
2.13,0,185,171,172
2.40,0,171,182,172
2.66,175,173,180,176
2.93,75,174,178,174
3.19,7,176,176,184
3.46,0,182,174,176
3.71,0,177,177,175
3.98,180,180,185,178
4.26,175,181,183,175
4.51,88,177,180,188
4.79,0,189,179,179
5.04,0,177,180,177
5.31,0,178,179,177
5.58,175,178,183,175
5.84,188,177,176,187
6.11,77,183,178,177
6.37,0,178,187,181
6.64,0,178,178,176
6.90,0,174,178,178
7.17,180,174,178,181
7.44,178,182,174,178
7.70,79,181,185,175
7.97,0,183,188,177
8.23,0,176,179,189
8.50,0,169,157,173
8.76,153,167,133,150
