0.00,0,175,190,152
1.78,69,181,193,171
2.03,5,185,167,171
2.30,0,128,151,167
2.58,0,158,131,137
2.83,151,158,146,140
3.10,148,160,156,148
3.36,60,153,158,159
3.63,9,161,156,159
3.89,0,159,163,154
4.16,0,160,168,155
4.43,156,160,167,157
4.69,167,160,160,167
4.96,61,166,161,161
5.22,2,161,163,159
5.49,0,162,168,162
5.75,0,163,172,172
6.02,173,161,175,174
6.29,172,178,163,172
6.55,69,173,179,168
6.82,0,171,175,167
7.07,0,167,170,170
7.35,0,172,170,167
7.60,164,174,167,166
7.87,168,165,171,166
8.15,2,164,173,163
8.40,0,163,166,175
8.67,0,173,165,169
8.93,0,172,173,167
9.20,169,171,171,165
9.46,68,173,172,168
9.73,8,170,174,179
10.00,0,177,169,174
10.26,0,170,177,165
10.53,168,169,177,168
10.79,167,169,175,168
11.06,72,167,166,171
11.31,3,168,166,164
11.59,0,162,167,165
11.86,0,164,170,165
12.12,165,167,171,164
12.39,173,161,168,173
12.64,74,178,165,173
12.92,1,176,177,167
13.19,0,181,179,168
13.44,0,168,179,180
13.72,183,171,169,184
13.97,157,182,171,155
14.24,89,163,178,169
14.50,0,171,157,121
14.77,0,124,161,160
